"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"sheepherding.nlogox"
"D3_N250_R2.5"
"03/21/2026 20:27:19:886 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-35","35"
"[run number]","nb-sheep","nb-dogs","n-topological","W-global-cohesion","R-repulsion","W-neigh-fleeing-cohesion","W-neigh-grazing-cohesion","vision-range","see-centroid","use-density-gradient?","with-exit?","[step]","ticks","done?","current-phase","ticks-to-success","holding-time","sheep-in-zone","sheep-captured-count","dogs-distance","lost-sheep","flock-spreadness","mean-spreadness"
"80","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2506","2506","true","exiting","2505","0","0","250","6532.3291585419065","0","0","22.33996208844625"
"82","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2756","2756","true","exiting","2755","0","0","250","7097.8603214196955","0","0","19.2705961053474"
"87","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","1983","1983","true","exiting","1982","0","0","250","5353.352665410397","0","0","22.137362343187977"
"89","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2079","2079","true","exiting","2078","0","0","250","5707.382849463137","0","0","28.765783188839876"
"91","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","1985","1985","true","exiting","1984","0","0","250","5335.886294909412","0","0","24.22714335955618"
"85","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","3164","3164","true","exiting","3163","0","0","250","7968.580250116031","0","0","18.431276849635815"
"84","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","3638","3638","true","exiting","3637","0","0","250","9106.0816751173","0","0","17.070652583601085"
"90","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2668","2668","true","exiting","2667","0","0","250","7023.718418942529","0","0","23.449687936176566"
"94","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2256","2256","true","exiting","2255","0","0","250","6044.769560870226","0","0","24.841789330960356"
"95","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","1743","1743","true","exiting","1742","0","0","250","4740.769508398995","0","0","24.578750462367516"
"92","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","3185","3185","true","exiting","3184","0","0","250","8124.66376621809","0","0","22.44162686312766"
"86","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","3999","3999","true","exiting","3998","0","0","250","9896.00253253474","0","0","16.61470736937356"
"88","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","3721","3721","true","exiting","3720","0","0","250","9513.965649522204","0","0","18.591614895334335"
"96","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2041","2041","true","exiting","2040","0","0","250","5281.971751045099","0","0","22.945633725803255"
"93","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2777","2777","true","exiting","2776","0","0","250","7200.357364900546","0","0","19.22365303585472"
"97","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2957","2957","true","exiting","2956","0","0","250","7524.39628548195","0","0","18.350977386956988"
"98","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","3149","3149","true","exiting","3148","0","0","250","8089.055956995284","0","0","22.97132457438016"
"100","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2441","2441","true","exiting","2440","0","0","250","6314.8852180121885","0","0","21.62393516777082"
"99","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","5418","5418","true","exiting","5417","0","0","250","13105.816244121914","0","0","15.601685466768627"
